Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
659,Saint Kitts and Nevis,2010,Urban population (percent),,,31.3,
659,Saint Kitts and Nevis,2010,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
659,Saint Kitts and Nevis,2010,Rural population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
659,Saint Kitts and Nevis,2015,Urban population (percent),,,30.8,
659,Saint Kitts and Nevis,2015,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
659,Saint Kitts and Nevis,2015,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
659,Saint Kitts and Nevis,2018,Urban population (percent),,,30.8,
659,Saint Kitts and Nevis,2018,Capital city population (thousands),Basseterre,,14,
662,Saint Lucia,2005,Urban population (percent),,,23.1,
662,Saint Lucia,2005,Urban population (percent growth rate per annum),,,-2.9,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2005,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2010,Urban population (percent),,,18.5,
662,Saint Lucia,2010,Urban population (percent growth rate per annum),,,-3.4,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2010,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2015,Urban population (percent),,,18.5,
662,Saint Lucia,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
662,Saint Lucia,2018,Urban population (percent),,,18.7,
662,Saint Lucia,2018,Capital city population (thousands),Castries,,22,
666,Saint Pierre and Miquelon,2005,Urban population (percent),,,89.9,
666,Saint Pierre and Miquelon,2005,Urban population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2005,Rural population (percent growth rate per annum),,,-1.3,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2010,Urban population (percent),,,89.9,
666,Saint Pierre and Miquelon,2010,Urban population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2015,Urban population (percent),,,89.9,
666,Saint Pierre and Miquelon,2015,Urban population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
666,Saint Pierre and Miquelon,2018,Urban population (percent),,,89.9,
666,Saint Pierre and Miquelon,2018,Capital city population (thousands),Saint-Pierre,,6,
670,Saint Vincent & Grenadines,2005,Urban population (percent),,,47,
670,Saint Vincent & Grenadines,2005,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2010,Urban population (percent),,,49,
670,Saint Vincent & Grenadines,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2010,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2015,Urban population (percent),,,51,
670,Saint Vincent & Grenadines,2015,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
670,Saint Vincent & Grenadines,2018,Urban population (percent),,,52.2,
670,Saint Vincent & Grenadines,2018,Capital city population (thousands),Kingstown,,27,
882,Samoa,2005,Urban population (percent),,,21.2,
882,Samoa,2005,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
882,Samoa,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
882,Samoa,2010,Urban population (percent),,,20.1,
882,Samoa,2010,Urban population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
882,Samoa,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
882,Samoa,2015,Urban population (percent),,,18.9,
882,Samoa,2015,Urban population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
882,Samoa,2015,Rural population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
882,Samoa,2018,Urban population (percent),,,18.2,
882,Samoa,2018,Capital city population (thousands),Apia,,36,
674,San Marino,2005,Urban population (percent),,,94.5,
674,San Marino,2005,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
674,San Marino,2005,Rural population (percent growth rate per annum),,,-2.1,Data refers to a 5-year period preceding the reference year.
674,San Marino,2010,Urban population (percent),,,95.7,
674,San Marino,2010,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
674,San Marino,2010,Rural population (percent growth rate per annum),,,-4,Data refers to a 5-year period preceding the reference year.
674,San Marino,2015,Urban population (percent),,,96.7,
674,San Marino,2015,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
674,San Marino,2015,Rural population (percent growth rate per annum),,,-4.2,Data refers to a 5-year period preceding the reference year.
674,San Marino,2018,Urban population (percent),,,97.2,
674,San Marino,2018,Capital city population (thousands),San Marino,,4,
678,Sao Tome and Principe,2005,Urban population (percent),,,59.2,
678,Sao Tome and Principe,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2005,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2010,Urban population (percent),,,65,
678,Sao Tome and Principe,2010,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2010,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2015,Urban population (percent),,,70.2,
678,Sao Tome and Principe,2015,Urban population (percent growth rate per annum),,,3.8,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2015,Rural population (percent growth rate per annum),,,-1,Data refers to a 5-year period preceding the reference year.
678,Sao Tome and Principe,2018,Urban population (percent),,,72.8,
678,Sao Tome and Principe,2018,Capital city population (thousands),Sao Tome,,80,
682,Saudi Arabia,2005,Urban population (percent),,,81,
682,Saudi Arabia,2005,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2005,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2005,Capital city population (thousands),Riyadh,,"4,252",
682,Saudi Arabia,2005,Capital city population (as a percentage of total population),Riyadh,,17.8,
682,Saudi Arabia,2005,Capital city population (as a percentage of total urban population),Riyadh,,22,
682,Saudi Arabia,2010,Urban population (percent),,,82.1,
682,Saudi Arabia,2010,Urban population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2010,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2010,Capital city population (thousands),Riyadh,,"5,220",
682,Saudi Arabia,2010,Capital city population (as a percentage of total population),Riyadh,,19,
682,Saudi Arabia,2010,Capital city population (as a percentage of total urban population),Riyadh,,23.2,
682,Saudi Arabia,2015,Urban population (percent),,,83.2,
682,Saudi Arabia,2015,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2015,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
682,Saudi Arabia,2015,Capital city population (thousands),Riyadh,,"6,218",
682,Saudi Arabia,2015,Capital city population (as a percentage of total population),Riyadh,,19.7,
682,Saudi Arabia,2015,Capital city population (as a percentage of total urban population),Riyadh,,23.7,
682,Saudi Arabia,2018,Urban population (percent),,,83.8,
682,Saudi Arabia,2018,Capital city population (thousands),Riyadh,,"6,907",
686,Senegal,2005,Urban population (percent),,,41.7,
686,Senegal,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
686,Senegal,2005,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
686,Senegal,2005,Capital city population (thousands),Dakar,,"2,135","Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2005,Capital city population (as a percentage of total population),Dakar,,19,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2005,Capital city population (as a percentage of total urban population),Dakar,,45.5,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2010,Urban population (percent),,,43.8,
686,Senegal,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
686,Senegal,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
686,Senegal,2010,Capital city population (thousands),Dakar,,"2,427","Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2010,Capital city population (as a percentage of total population),Dakar,,18.8,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2010,Capital city population (as a percentage of total urban population),Dakar,,42.9,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2015,Urban population (percent),,,45.9,
686,Senegal,2015,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
686,Senegal,2015,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
686,Senegal,2015,Capital city population (thousands),Dakar,,"2,758","Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2015,Capital city population (as a percentage of total population),Dakar,,18.4,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2015,Capital city population (as a percentage of total urban population),Dakar,,40.2,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
686,Senegal,2018,Urban population (percent),,,47.2,
686,Senegal,2018,Capital city population (thousands),Dakar,,"2,978","Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region."
688,Serbia,2005,Urban population (percent),,,53.9,Including Kosovo.
688,Serbia,2005,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2005,Rural population (percent growth rate per annum),,,-1.1,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2005,Capital city population (thousands),Belgrade,,"1,303",Refers to the urban population of Belgrade area.
688,Serbia,2005,Capital city population (as a percentage of total population),Belgrade,,14.1,Refers to the urban population of Belgrade area.
688,Serbia,2005,Capital city population (as a percentage of total urban population),Belgrade,,26.2,Refers to the urban population of Belgrade area.
688,Serbia,2010,Urban population (percent),,,55,Including Kosovo.
688,Serbia,2010,Urban population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2010,Capital city population (thousands),Belgrade,,"1,336",Refers to the urban population of Belgrade area.
688,Serbia,2010,Capital city population (as a percentage of total population),Belgrade,,14.8,Refers to the urban population of Belgrade area.
688,Serbia,2010,Capital city population (as a percentage of total urban population),Belgrade,,26.9,Refers to the urban population of Belgrade area.
688,Serbia,2015,Urban population (percent),,,55.7,Including Kosovo.
688,Serbia,2015,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2015,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.;Including Kosovo.
688,Serbia,2015,Capital city population (thousands),Belgrade,,"1,369",Refers to the urban population of Belgrade area.
688,Serbia,2015,Capital city population (as a percentage of total population),Belgrade,,15.5,Refers to the urban population of Belgrade area.
688,Serbia,2015,Capital city population (as a percentage of total urban population),Belgrade,,27.8,Refers to the urban population of Belgrade area.
688,Serbia,2018,Urban population (percent),,,56.1,Including Kosovo.
688,Serbia,2018,Capital city population (thousands),Belgrade,,"1,389",Refers to the urban population of Belgrade area.
690,Seychelles,2005,Urban population (percent),,,51.7,
690,Seychelles,2005,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2005,Rural population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2010,Urban population (percent),,,53.3,
690,Seychelles,2010,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2015,Urban population (percent),,,55.4,
690,Seychelles,2015,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2015,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
690,Seychelles,2018,Urban population (percent),,,56.7,
690,Seychelles,2018,Capital city population (thousands),Victoria,,28,
694,Sierra Leone,2005,Urban population (percent),,,36.9,
694,Sierra Leone,2005,Urban population (percent growth rate per annum),,,5,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2005,Rural population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2005,Capital city population (thousands),Freetown,,786,
694,Sierra Leone,2005,Capital city population (as a percentage of total population),Freetown,,13.9,
694,Sierra Leone,2005,Capital city population (as a percentage of total urban population),Freetown,,37.6,
694,Sierra Leone,2010,Urban population (percent),,,38.9,
694,Sierra Leone,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2010,Capital city population (thousands),Freetown,,905,
694,Sierra Leone,2010,Capital city population (as a percentage of total population),Freetown,,14,
694,Sierra Leone,2010,Capital city population (as a percentage of total urban population),Freetown,,36.1,
694,Sierra Leone,2015,Urban population (percent),,,40.8,
694,Sierra Leone,2015,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
694,Sierra Leone,2015,Capital city population (thousands),Freetown,,"1,043",
694,Sierra Leone,2015,Capital city population (as a percentage of total population),Freetown,,14.4,
694,Sierra Leone,2015,Capital city population (as a percentage of total urban population),Freetown,,35.3,
694,Sierra Leone,2018,Urban population (percent),,,42.1,
694,Sierra Leone,2018,Capital city population (thousands),Freetown,,"1,136",
702,Singapore,2005,Urban population (percent),,,100,
702,Singapore,2005,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
702,Singapore,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
702,Singapore,2005,Capital city population (thousands),Singapore,,"4,491",
702,Singapore,2005,Capital city population (as a percentage of total population),Singapore,,100,
702,Singapore,2005,Capital city population (as a percentage of total urban population),Singapore,,100,
702,Singapore,2010,Urban population (percent),,,100,
702,Singapore,2010,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
702,Singapore,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
702,Singapore,2010,Capital city population (thousands),Singapore,,"5,074",
702,Singapore,2010,Capital city population (as a percentage of total population),Singapore,,100,
702,Singapore,2010,Capital city population (as a percentage of total urban population),Singapore,,100,
702,Singapore,2015,Urban population (percent),,,100,
702,Singapore,2015,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
702,Singapore,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
702,Singapore,2015,Capital city population (thousands),Singapore,,"5,535",
702,Singapore,2015,Capital city population (as a percentage of total population),Singapore,,100,
702,Singapore,2015,Capital city population (as a percentage of total urban population),Singapore,,100,
702,Singapore,2018,Urban population (percent),,,100,
702,Singapore,2018,Capital city population (thousands),Singapore,,"5,792",
534,Sint Maarten (Dutch part),2005,Urban population (percent),,,100,
534,Sint Maarten (Dutch part),2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2010,Urban population (percent),,,100,
534,Sint Maarten (Dutch part),2010,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2015,Urban population (percent),,,100,
534,Sint Maarten (Dutch part),2015,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
534,Sint Maarten (Dutch part),2018,Urban population (percent),,,100,
534,Sint Maarten (Dutch part),2018,Capital city population (thousands),Philipsburg,,41,Refers to the total population of Sint Maarten.
703,Slovakia,2005,Urban population (percent),,,55.6,
703,Slovakia,2005,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2005,Capital city population (thousands),Bratislava,,426,
703,Slovakia,2005,Capital city population (as a percentage of total population),Bratislava,,7.9,
703,Slovakia,2005,Capital city population (as a percentage of total urban population),Bratislava,,14.2,
703,Slovakia,2010,Urban population (percent),,,54.7,
703,Slovakia,2010,Urban population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2010,Capital city population (thousands),Bratislava,,414,
703,Slovakia,2010,Capital city population (as a percentage of total population),Bratislava,,7.7,
703,Slovakia,2010,Capital city population (as a percentage of total urban population),Bratislava,,14,
703,Slovakia,2015,Urban population (percent),,,53.9,
703,Slovakia,2015,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
703,Slovakia,2015,Capital city population (thousands),Bratislava,,422,
703,Slovakia,2015,Capital city population (as a percentage of total population),Bratislava,,7.8,
703,Slovakia,2015,Capital city population (as a percentage of total urban population),Bratislava,,14.4,
703,Slovakia,2018,Urban population (percent),,,53.7,
703,Slovakia,2018,Capital city population (thousands),Bratislava,,430,
705,Slovenia,2005,Urban population (percent),,,51.5,
705,Slovenia,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2010,Urban population (percent),,,52.7,
705,Slovenia,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2015,Urban population (percent),,,53.8,
705,Slovenia,2015,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
705,Slovenia,2018,Urban population (percent),,,54.5,
705,Slovenia,2018,Capital city population (thousands),Ljubljana,,286,
90,Solomon Islands,2005,Urban population (percent),,,17.8,
90,Solomon Islands,2005,Urban population (percent growth rate per annum),,,5,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2005,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2010,Urban population (percent),,,20,
90,Solomon Islands,2010,Urban population (percent growth rate per annum),,,4.7,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2010,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2015,Urban population (percent),,,22.4,
90,Solomon Islands,2015,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
90,Solomon Islands,2018,Urban population (percent),,,23.7,
90,Solomon Islands,2018,Capital city population (thousands),Honiara,,82,
706,Somalia,2005,Urban population (percent),,,36.3,
706,Somalia,2005,Urban population (percent growth rate per annum),,,4.6,Data refers to a 5-year period preceding the reference year.
706,Somalia,2005,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
706,Somalia,2005,Capital city population (thousands),Mogadishu,,"1,415",Data refers to the urban agglomeration.
706,Somalia,2005,Capital city population (as a percentage of total population),Mogadishu,,13.6,Data refers to the urban agglomeration.
706,Somalia,2005,Capital city population (as a percentage of total urban population),Mogadishu,,37.4,Data refers to the urban agglomeration.
706,Somalia,2010,Urban population (percent),,,39.3,
706,Somalia,2010,Urban population (percent growth rate per annum),,,4.5,Data refers to a 5-year period preceding the reference year.
706,Somalia,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
706,Somalia,2010,Capital city population (thousands),Mogadishu,,"1,353",Data refers to the urban agglomeration.
706,Somalia,2010,Capital city population (as a percentage of total population),Mogadishu,,11.2,Data refers to the urban agglomeration.
706,Somalia,2010,Capital city population (as a percentage of total urban population),Mogadishu,,28.6,Data refers to the urban agglomeration.
706,Somalia,2015,Urban population (percent),,,43.2,
706,Somalia,2015,Urban population (percent growth rate per annum),,,4.8,Data refers to a 5-year period preceding the reference year.
706,Somalia,2015,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
706,Somalia,2015,Capital city population (thousands),Mogadishu,,"1,783",Data refers to the urban agglomeration.
706,Somalia,2015,Capital city population (as a percentage of total population),Mogadishu,,12.8,Data refers to the urban agglomeration.
706,Somalia,2015,Capital city population (as a percentage of total urban population),Mogadishu,,29.6,Data refers to the urban agglomeration.
706,Somalia,2018,Urban population (percent),,,45,
706,Somalia,2018,Capital city population (thousands),Mogadishu,,"2,082",Data refers to the urban agglomeration.
710,South Africa,2005,Urban population (percent),,,59.5,
710,South Africa,2005,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
710,South Africa,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
710,South Africa,2005,Capital city population (thousands),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.","1,334",
710,South Africa,2005,Capital city population (as a percentage of total population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",2.7,
710,South Africa,2005,Capital city population (as a percentage of total urban population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",4.6,
710,South Africa,2010,Urban population (percent),,,62.2,
710,South Africa,2010,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
710,South Africa,2010,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
710,South Africa,2010,Capital city population (thousands),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.","1,666",
710,South Africa,2010,Capital city population (as a percentage of total population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",3.2,
710,South Africa,2010,Capital city population (as a percentage of total urban population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",5.2,
710,South Africa,2015,Urban population (percent),,,64.8,
710,South Africa,2015,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
710,South Africa,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
710,South Africa,2015,Capital city population (thousands),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.","2,081",
710,South Africa,2015,Capital city population (as a percentage of total population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",3.8,
710,South Africa,2015,Capital city population (as a percentage of total urban population),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.",5.8,
710,South Africa,2018,Urban population (percent),,,66.4,
710,South Africa,2018,Capital city population (thousands),Pretoria,"Pretoria is the administrative capital, Cape Town is the legislative capital and Bloemfontein is the judiciary capital.","2,378",
728,South Sudan,2005,Urban population (percent),,,17.2,
728,South Sudan,2005,Urban population (percent growth rate per annum),,,4.6,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2005,Rural population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2005,Capital city population (thousands),Juba,,202,
728,South Sudan,2005,Capital city population (as a percentage of total population),Juba,,2.5,
728,South Sudan,2005,Capital city population (as a percentage of total urban population),Juba,,14.5,
728,South Sudan,2010,Urban population (percent),,,17.9,
728,South Sudan,2010,Urban population (percent growth rate per annum),,,5.1,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2010,Rural population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2010,Capital city population (thousands),Juba,,255,
728,South Sudan,2010,Capital city population (as a percentage of total population),Juba,,2.5,
728,South Sudan,2010,Capital city population (as a percentage of total urban population),Juba,,14.2,
728,South Sudan,2015,Urban population (percent),,,18.9,
728,South Sudan,2015,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2015,Rural population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
728,South Sudan,2015,Capital city population (thousands),Juba,,321,
728,South Sudan,2015,Capital city population (as a percentage of total population),Juba,,2.7,
728,South Sudan,2015,Capital city population (as a percentage of total urban population),Juba,,14.3,
728,South Sudan,2018,Urban population (percent),,,19.6,
728,South Sudan,2018,Capital city population (thousands),Juba,,369,
724,Spain,2005,Urban population (percent),,,77.3,"Including Canary Islands, Ceuta and Melilla."
724,Spain,2005,Urban population (percent growth rate per annum),,,1.7,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla."
724,Spain,2005,Rural population (percent growth rate per annum),,,0.6,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla."
724,Spain,2005,Capital city population (thousands),Madrid,,"5,383",
724,Spain,2005,Capital city population (as a percentage of total population),Madrid,,12.2,
724,Spain,2005,Capital city population (as a percentage of total urban population),Madrid,,15.8,
724,Spain,2010,Urban population (percent),,,78.4,"Including Canary Islands, Ceuta and Melilla."
724,Spain,2010,Urban population (percent growth rate per annum),,,1.5,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla."
724,Spain,2010,Rural population (percent growth rate per annum),,,0.1,"Data refers to a 5-year period preceding the reference year.;Including Canary Islands, Ceuta and Melilla."
724,Spain,2010,Capital city population (thousands),Madrid,,"5,787",
724,Spain,2010,Capital city population (as a percentage of total population),Madrid,,12.4,
724,Spain,2010,Capital city population (as a percentage of total urban population),Madrid,,15.8,
